ethnicity,Label
1,ARAONA
2,AYMARA
3,BAURE
4,BÉSIRO
5,CANICHANA
6,CASTELLANO
7,CAVINEÑO
8,CAYUBABA
9,CHÁCOBO
10,CHIMAN
11,ESE EJJA
12,GUARANI
13,GUARASUAWE
14,GUARAYU
15,ITONAMA
16,LECO
17,MACHAJUYAI-KALLAWAYA
18,MACHINERI
19,MAROPA
20,MOJEÑO IGNACIANO
21,MOJEÑO TRINITARIO
22,MORÉ
23,MOSETEN
24,MOVIMA
25,PACAWARA
26,PUQUINA
27,QUECHUA
28,SIRIONÓ
29,TACANA
30,TAPIETE
31,TOROMONA
32,URUCHIPAYA
33,WEENHAYEK
34,YAMINAWA
35,YUKI
36,YURACARE
37,ZAMUCO
38,IDIOMA EXTRANJERO
39,OTRO IDIOMA NACIONAL
40,ALBANÉS
41,ALEMAN
42,ARABE
43,BULGARO
44,CATALAN
45,CHINO
46,COREANO
47,CROATA
48,DANES
49,ESCOSÉS
50,FINLANDÉS
51,FRANCES
52,sOLANDES
53,sÚNGARO
54,INGLES
55,ITALIANO
56,JAPONES
57,NORUEGO
58,PORTUGUES
59,RUMANO
60,RUSO
61,SERBIO
62,SUECO
63,TAILANDÉS
64,TURCO
65,UCRANIANO
66,VASCO
67,VIETNAMÉS
70,QUINAMAYA
71,Qom (Toba)
995,B. NO PUEDE HABLAR
996,A. NO HABLA AÚN
997,NO CORRESPONDE A IDIOMA
998,NO SABE
999,OMISIÓN
