edu_hhh,Education
1_100_NA,"Ninguno, Ninguno"
2_200_NA,"Preescolar, Inicio Preescolar"
2_201_NA,"Preescolar, Preescolar"
3_300_NA,"Basica Primaria, Inicio primaria"
3_301_NA,"Basica Primaria, Primero de primaria"
3_302_NA,"Basica Primaria, Segundo de primaria"
3_303_NA,"Basica Primaria, Tercero de primaria"
3_304_NA,"Basica Primaria, Cuarto de primaria"
3_305_NA,"Basica Primaria, Quinto de primaria"
4_400_NA,"Basica Secundaria, Inicio Basica Secundaria"
4_406_NA,"Basica Secundaria, Sexto"
4_407_NA,"Basica Secundaria, Septimo"
4_408_NA,"Basica Secundaria, Octavo"
4_409_NA,"Basica Secundaria, Noveno"
5_500_1,"Media, Inicio Media, Ninguno"
5_500_NA,"Media, Inicio Media"
5_510_1,"Media, Decimo, Ninguno"
5_511_1,"Media, Once, Ninguno"
5_511_2,"Media, Once, Bachiller"
5_511_3,"Media, Once, Técnico o tecnológico"
5_511_4,"Media, Once, Universitario"
5_511_5,"Media, Once, Postgrado"
5_512_1,"Media, Doce, Ninguno"
5_512_2,"Media, Doce, Bachiller"
5_512_3,"Media, Doce, Técnico o tecnológico"
5_512_4,"Media, Doce, Universitario"
5_513_2,"Media, Trece, Bachiller"
5_513_3,"Media, Trece, Técnico o tecnológico"
5_513_4,"Media, Trece, Universitario"
5_513_5,"Media, Trece, Postgrado"
6_600_1,"Superior o Universitaria, Inicio Superior o Universitaria, Ninguno"
6_600_2,"Superior o Universitaria, Inicio Superior o Universitaria, Bachiller"
6_600_3,"Superior o Universitaria, Inicio Superior o Universitaria, Técnico o tecnológico"
6_600_4,"Superior o Universitaria, Inicio Superior o Universitaria, Universitario"
6_600_5,"Superior o Universitaria, Inicio Superior o Universitaria, Postgrado"
6_601_1,"Superior o Universitaria, Primer año, Ninguno"
6_601_2,"Superior o Universitaria, Primer año, Bachiller"
6_601_3,"Superior o Universitaria, Primer año, Técnico o tecnológico"
6_601_4,"Superior o Universitaria, Primer año, Universitario"
6_601_5,"Superior o Universitaria, Primer año, Postgrado"
6_602_1,"Superior o Universitaria, Segundo año, Ninguno"
6_602_2,"Superior o Universitaria, Segundo año, Bachiller"
6_602_3,"Superior o Universitaria, Segundo año, Técnico o tecnológico"
6_602_4,"Superior o Universitaria, Segundo año, Universitario"
6_602_5,"Superior o Universitaria, Segundo año, Postgrado"
6_603_1,"Superior o Universitaria, Tercer año, Ninguno"
6_603_2,"Superior o Universitaria, Tercer año, Bachiller"
6_603_3,"Superior o Universitaria, Tercer año, Técnico o tecnológico"
6_603_4,"Superior o Universitaria, Tercer año, Universitario"
6_603_5,"Superior o Universitaria, Tercer año, Postgrado"
6_604_1,"Superior o Universitaria, Cuarto año, Ninguno"
6_604_2,"Superior o Universitaria, Cuarto año, Bachiller"
6_604_3,"Superior o Universitaria, Cuarto año, Técnico o tecnológico"
6_604_4,"Superior o Universitaria, Cuarto año, Universitario"
6_604_5,"Superior o Universitaria, Cuarto año, Postgrado"
6_605_1,"Superior o Universitaria, Quinto año, Ninguno"
6_605_2,"Superior o Universitaria, Quinto año, Bachiller"
6_605_3,"Superior o Universitaria, Quinto año, Técnico o tecnológico"
6_605_4,"Superior o Universitaria, Quinto año, Universitario"
6_605_5,"Superior o Universitaria, Quinto año, Postgrado"
6_605_9,"Superior o Universitaria, Quinto año, No sabe, no informa"
6_606_1,"Superior o Universitaria, Sexto año, Ninguno"
6_606_2,"Superior o Universitaria, Sexto año, Bachiller"
6_606_3,"Superior o Universitaria, Sexto año, Técnico o tecnológico"
6_606_4,"Superior o Universitaria, Sexto año, Universitario"
6_606_5,"Superior o Universitaria, Sexto año, Postgrado"
6_607_1,"Superior o Universitaria, Septimo año, Ninguno"
6_607_2,"Superior o Universitaria, Septimo año, Bachiller"
6_607_3,"Superior o Universitaria, Septimo año, Técnico o tecnológico"
6_607_4,"Superior o Universitaria, Septimo año, Universitario"
6_607_5,"Superior o Universitaria, Septimo año, Postgrado"
6_608_2,"Superior o Universitaria, Octavo año, Bachiller"
6_608_3,"Superior o Universitaria, Octavo año, Técnico o tecnológico"
6_608_4,"Superior o Universitaria, Octavo año, Universitario"
6_608_5,"Superior o Universitaria, Octavo año, Postgrado"
6_609_1,"Superior o Universitaria, Noveno año, Ninguno"
6_609_2,"Superior o Universitaria, Noveno año, Bachiller"
6_609_3,"Superior o Universitaria, Noveno año, Técnico o tecnológico"
6_609_4,"Superior o Universitaria, Noveno año, Universitario"
6_609_5,"Superior o Universitaria, Noveno año, Postgrado"
6_610_1,"Superior o Universitaria, Decimo año, Ninguno"
6_610_2,"Superior o Universitaria, Decimo año, Bachiller"
6_610_3,"Superior o Universitaria, Decimo año, Técnico o tecnológico"
6_610_4,"Superior o Universitaria, Decimo año, Universitario"
6_610_5,"Superior o Universitaria, Decimo año, Postgrado"
6_610_9,"Superior o Universitaria, Decimo año, No sabe, no informa"
6_611_1,"Superior o Universitaria, Undecimo año, Ninguno"
6_611_2,"Superior o Universitaria, Undecimo año, Bachiller"
6_611_3,"Superior o Universitaria, Undecimo año, Técnico o tecnológico"
6_611_4,"Superior o Universitaria, Undecimo año, Universitario"
6_611_5,"Superior o Universitaria, Undecimo año, Postgrado"
6_612_2,"Superior o Universitaria, Decimo Segundo año, Bachiller"
6_612_3,"Superior o Universitaria, Decimo Segundo año, Técnico o tecnológico"
6_612_4,"Superior o Universitaria, Decimo Segundo año, Universitario"
6_612_5,"Superior o Universitaria, Decimo Segundo año, Postgrado"
6_613_2,"Superior o Universitaria, Decimo Tercer año, Bachiller"
6_613_3,"Superior o Universitaria, Decimo Tercer año, Técnico o tecnológico"
6_613_4,"Superior o Universitaria, Decimo Tercer año, Universitario"
6_613_5,"Superior o Universitaria, Decimo Tercer año, Postgrado"
6_614_3,"Superior o Universitaria, Decimo Cuarto año, Técnico o tecnológico"
6_614_4,"Superior o Universitaria, Decimo Cuarto año, Universitario"
6_614_5,"Superior o Universitaria, Decimo Cuarto año, Postgrado"
6_615_1,"Superior o Universitaria, Decimo Quinto año, Ninguno"
6_615_3,"Superior o Universitaria, Decimo Quinto año, Técnico o tecnológico"
6_615_4,"Superior o Universitaria, Decimo Quinto año, Universitario"
6_615_5,"Superior o Universitaria, Decimo Quinto año, Postgrado"
9_999_NA,"""No sabe, no informa"", No sabe, no informa"
