municipality,DES_MUNICIPIO
101,Santo Domingo de Guzmán
201,Azua
202,Las Charcas
203,Las Yayas de Viajama
204,Padre Las Casas
205,Peralta
206,Sabana Yegua
207,Pueblo Viejo
208,Tábara Arriba
210,Estebanía
301,Neiba
302,Galván
303,Tamayo
304,Villa Jaragua
305,Los Ríos
401,Barahona
402,Cabral
403,Enriquillo
404,Paraíso
405,Canoa
407,La Ciénaga
408,Fundación
410,Polo
411,Jaquimeyes
501,Dajabón
502,Loma de Cabrera
503,Partido
505,El Pino
601,San Francisco de Macorís
602,Arenoso
603,Castillo
604,Pimentel
605,Villa Riva
606,Las Guáranas
701,Comendador
703,El Llano
704,Hondo Valle
705,Pedro Santana
801,El Seibo
802,Miches
901,Moca
902,Cayetano Germosén
903,Gaspar Hernández
904,Jamao Al Norte
1001,Jimaní
1002,Duvergé
1003,La Descubierta
1005,Cristóbal
1006,Mella
1101,Higüey
1102,San Rafael del Yuma
1201,La Romana
1202,Guaymate
1203,Villa Hermosa
1301,La Vega
1302,Constanza
1303,Jarabacoa
1304,Jima Abajo
1401,Nagua
1402,Cabrera
1403,El Factor
1404,Río San Juan
1501,Monte Cristi
1502,Castañuelas
1503,Guayubín
1505,Pepillo Salcedo
1506,Villa Vásquez
1601,Pedernales
1602,Oviedo
1701,Baní
1702,Nizao
1801,Puerto Plata
1802,Altamira
1804,Imbert
1805,Los Hidalgos
1806,Luperón
1807,Sosúa
1808,Villa Isabela
1809,Villa Montellano
1901,Salcedo
1902,Tenares
1903,Villa Tapia
2001,Samaná
2002,Sánchez
2003,Las Terrenas
2101,San Cristóbal
2102,Sabana Grande de Palenque
2103,Bajos de Haina
2104,Cambita Garabitos
2105,Villa Altagracia
2106,Yaguate
2107,San Gregorio de Nigua
2201,San Juan
2202,Bohechío
2203,El Cercado
2204,Juan de Herrera
2205,Las Matas de Farfán
2301,San Pedro de Macorís
2302,Los Llanos
2303,Ramón Santana
2304,Consuelo
2305,Quisqueya
2306,Guayacanes
2401,Cotuí
2402,Cevicos
2403,Fantino
2404,La Mata
2501,Santiago
2502,Bisonó
2503,Jánico
2504,Licey Al Medio
2505,San José de Las Matas
2506,Tamboril
2507,Villa González
2508,Puñal
2509,Sabana Iglesia 
2601,San Ignacio de Sabaneta
2602,Villa Los Almácigos
2603,Monción
2701,Mao
2702,Esperanza
2703,Laguna Salada
2801,Bonao
2802,Maimón
2803,Piedra Blanca
2901,Monte Plata
2902,Bayaguana
2903,Sabana Grande de Boyá
2904,Yamasá
2905,Peralvillo
3001,Hato Mayor
3002,Sabana de La Mar
3003,El Valle
3101,San José de Ocoa
3102,Sabana Larga
3103,Rancho Arriba
3201,Santo Domingo Este
3202,Santo Domingo Oeste
3203,Santo Domingo Norte
3204,Boca Chica
3205,San Antonio de Guerra
3206,Los Alcarrizos
3207,Pedro Brand
