ethnicity,Ethnicity_0,Ethnicity
1,Kaichea,Indigeneous
2,Qaeqchia,Indigeneous
3,Kaqchiquel,Indigeneous
4,Mam,Indigeneous
5, Qaanjobaal,Indigeneous
6,Achi,Indigeneous
7,Ixil,Indigeneous
9,Poqomchia,Indigeneous
10,Chuj,Indigeneous
11,Awateko,Indigeneous
12,Pokoman,Indigeneous
13,Chaorti,Indigeneous
14,Jakalteko (popti),Indigeneous
16,Mopan,Indigeneous
17,Uspanteko,Indigeneous
18, Tzautujil,Indigeneous
21,Chalchiteko,Indigeneous
22,Akateko,Indigeneous
23,Xinka,Indigeneous
24,Garifuna,Indigeneous
29,Ladino,Ladino
30,Extranjero,Extranjero
97,No Indica,No Indica
99,Ignorado,No Indica
